id_aluno,nome,sobrenome,dt_nascimento,cpf,sexo_biologico,dt_ingresso,fk_curso
14,Leticia,de Lima,2003-05-01,121.212.121-21,F,2022-01-01,1
5,Raul,Oliveira,2002-04-20,333.333.333-33,M,2022-01-01,1
17,Phil,Pinto,2002-12-30,151.515.151-51,M,2022-01-01,1
7,Andreas,Iniesta,2002-07-05,555.555.555-55,M,2022-01-01,1
26,Amanda,Nunes,2002-10-30,202.956.010-91,F,2022-01-01,1
16,Ana,Mendes,2003-06-20,141.414.141-41,F,2022-01-01,1
3,Lucas,Silva,2003-05-10,111.111.111-11,M,2022-01-01,1
23,Alisson,Becker,2003-01-17,427.191.210-83,M,2022-01-01,1
4,Ana,Santos,2002-08-15,222.222.222-22,F,2022-01-01,1
48,Anthony,Silveira,2003-06-30,217.479.580-77,M,2022-07-01,1
30,Viviana,Santana,2002-11-10,584.882.250-55,F,2022-01-01,1
58,Antonella,Ferreira,2002-11-12,274.965.860-09,F,2022-07-01,1
52,Bianca,Rodrigues,2002-08-12,510.528.870-05,F,2022-07-01,1
47,Bárbara,Fagundes,2002-11-15,547.028.270-83,F,2022-07-01,1
39,Camilli,Costa,2002-07-01,957.064.030-06,F,2022-07-01,1
10,Carolina,Pereira,2003-03-25,888.888.888-88,F,2022-01-01,1
20,Carolini,Cavalcanti,2002-04-22,677.211.453-02,F,2022-01-01,1
55,Darwin,Oliveira,2003-04-05,463.946.240-66,M,2022-07-01,1
6,Mariana,Rodrigues,2003-02-28,444.444.444-44,F,2022-01-01,1
11,Mateus,Martins,2002-10-31,999.999.999-99,M,2022-01-01,1
15,Nathan,Rocha,2002-11-10,131.313.131-31,M,2022-01-01,1
18,Luana,Sousa,2003-05-12,022.778.850-24,F,2022-01-01,1
21,Leonardo,Melo,2003-03-01,720.529.617-70,M,2022-01-01,1
24,Natália,Gonçalves,2002-06-21,690.933.280-09,F,2022-01-01,1
25,Vinícius,Alves,2003-04-01,032.336.430-44,M,2022-01-01,1
27,Matheus,Barbosa,2003-05-15,440.850.150-44,M,2022-01-01,1
31,Diego,Fernandez,2003-06-20,301.149.880-03,M,2022-01-01,1
38,Rafaelo,Ferreira,2003-01-25,488.498.300-93,M,2022-07-01,1
46,Pedro,Oliveira,2003-05-01,954.878.930-95,M,2022-07-01,1
13,Gabriel,Lima,2002-09-22,111.111.111-12,M,2022-01-01,1
33,Gabrielli,Pereira,2003-07-05,145.736.460-00,F,2022-07-01,1
49,Giovana,Pereira,2003-01-05,350.924.400-49,F,2022-07-01,1
19,Guilherme,Fernandes,2002-08-18,288.987.920-77,M,2022-01-01,1
59,Adrian,Melo,2003-06-25,739.503.310-66,M,2022-07-01,1
9,Jordan,Gomes,2002-06-20,777.777.777-77,M,2022-01-01,1
44,Gustavo,Carvalho,2003-04-20,693.861.130-20,M,2022-07-01,1
36,Isaac,Moraes,2002-12-10,092.734.880-45,M,2022-07-01,1
8,Julia,Costa,2003-01-15,666.666.666-66,F,2022-01-01,1
12,Lara,Ferreira,2003-04-15,101.010.101-01,F,2022-01-01,1
37,Juliana,Alayo,2003-09-15,565.820.170-08,F,2022-07-01,1
62,Aurora,Santos,2003-02-28,104.327.010-06,F,2022-07-01,1
28,Ana Clara,Valentin,2002-09-20,643.761.430-73,F,2022-01-01,1
56,Emanuely,Valentim,2002-10-01,742.938.290-40,F,2022-07-01,1
45,Isabel,Almeida,2002-10-10,046.876.420-95,F,2022-07-01,1
50,Pérola,Pinto,2002-07-20,819.161.880-60,F,2022-07-01,1
40,Marcos Paulo,Sousa,2003-02-12,033.280.680-82,M,2022-07-01,1
35,Hermione,Granger,2003-08-01,904.187.560-55,F,2022-07-01,1
29,José,Campos,2003-05-01,273.918.270-09,M,2022-01-01,1
43,Júlia,Barroso,2002-09-05,366.220.530-50,F,2022-07-01,1
53,Gabriel,Jesus,2003-03-18,889.738.020-71,M,2022-07-01,1
54,Serena,Willians,2002-09-20,189.635.080-80,F,2022-07-01,1
22,Larissa,Lima,2002-07-07,783.285.113-38,F,2022-01-01,1
34,Rafael,Cardoso,2002-11-22,867.791.460-42,M,2022-07-01,1
41,Letícia,Silva,2002-08-22,713.209.080-05,F,2022-07-01,1
42,Thiago,Gonçalves,2003-03-03,185.421.380-69,M,2022-07-01,1
51,Lucas,Fernandes,2003-02-25,003.856.810-33,M,2022-07-01,1
94,Ana Luiza,Silva,2003-08-22,713.209.083-05,F,2023-01-01,1
104,Francisco,Fernandes,2003-02-25,003.856.813-33,M,2023-07-01,1
116,Cauã,Oliveira,2002-08-10,876.329.893-82,M,2023-07-01,1
74,Yan,Melo,2003-03-01,720.529.627-70,M,2023-01-01,1
103,Elis,Pomposo,2002-07-20,819.161.883-60,F,2023-07-01,1
61,Renato,Barros,2002-07-15,920.864.220-85,M,2022-07-01,1
71,Maria,Silva,2003-07-12,880.228.850-24,F,2023-01-01,1
72,Ricardo,Fernandes,2003-08-18,158.987.920-77,M,2023-01-01,1
93,Marcos,Sousa Silva,2004-02-12,033.280.683-82,M,2023-01-01,1
75,Mariana,Lima,2003-07-07,783.285.123-38,F,2023-01-01,1
113,Mariana,Malfoy,2003-01-10,457.832.483-80,F,2023-07-01,1
88,Lavínia,Gomes,2004-08-01,904.187.563-05,F,2023-01-01,1
123,Mariana,Weasley,2003-06-20,088.398.303-93,F,2023-07-01,1
76,Matheus,Rocha,2003-01-17,427.191.213-83,M,2023-01-01,1
60,Alícia,Gomes,2003-01-10,457.832.480-80,F,2022-07-01,1
78,Thiago,Alves,2003-04-01,032.336.434-04,M,2023-01-01,1
87,Oliver,Giroud,2003-11-22,867.791.463-42,M,2023-01-01,1
102,Alice,Silveira,2003-01-05,350.924.403-49,F,2023-07-01,1
85,Tatiane,Oliveira,2003-12-30,825.989.013-01,F,2023-01-01,1
122,Xabi,Alonso,2002-11-10,700.620.173-08,M,2023-07-01,1
106,Ricardo,Busquest,2003-03-18,889.738.023-71,M,2023-07-01,1
32,Josué,Hass,2002-12-30,825.989.010-01,M,2022-01-01,1
95,Frank,Ribbery,2004-03-03,185.421.383-09,M,2023-01-01,1
57,Roberto ,Firmino,2003-05-22,017.592.090-96,M,2022-07-01,1
118,Mohamed,Salah,2002-09-20,127.682.073-92,M,2023-07-01,1
