id_professor,nome,sobrenome,dt_nascimento,cpf,sexo_biologico,fk_departamento
1,João,Silva,1970-05-15,123.456.789-10,M,1
2,Maria,Santos,1982-09-20,987.654.321-10,F,1
3,Carlos,Oliveira,1975-03-10,456.789.123-10,M,1
4,Ana,Rodrigues,1988-07-25,321.654.987-10,F,1
5,Pedro,Costa,1980-11-08,789.123.456-10,M,1
6,Marta,Pereira,1973-12-12,456.789.123-11,F,2
7,Paulo,Gomes,1978-02-28,987.654.321-11,M,2
8,Fernanda,Martins,1985-06-17,123.456.789-11,F,2
9,Rafael,Almeida,1972-08-03,789.123.456-11,M,2
10,Aline,Ferreira,1983-04-09,321.654.987-11,F,2
11,Lucas,Souza,1977-10-22,159.753.852-10,M,1
12,Gabriela,Cunha,1981-01-30,357.951.468-10,F,1
13,Eduardo,Mendes,1976-11-05,951.753.159-10,M,1
14,Patricia,Rocha,1989-03-14,753.159.357-10,F,1
15,Marcelo,Lima,1974-09-18,468.357.951-10,M,1
